,name,language,talk.translation_shifts,talk.language,talk.room,talk.duration,talk.title,talk.speakers,talk.fahrplan
185,Ludwig,en,"[TranslationShift(name=""tonyHDS"", language=""en"", Talk=<parse.Talk object at 0x10aa6f490>), TranslationShift(name=""eibwen"", language=""en"", Talk=<parse.Talk object at 0x10aa6f490>), TranslationShift(name=""SimplySayM"", language=""en"", Talk=<parse.Talk object at 0x10aa6f490>), TranslationShift(name=""Ludwig"", language=""en"", Talk=<parse.Talk object at 0x10aa6f490>)]",de,Ada,0 days 02:00:00.000000000,Hacker Jeopardy (Podium),"['Sec', 'Ray']",https://fahrplan.events.ccc.de/congress/2019/Fahrplan/events/11177.html
186,whytea,en,"[TranslationShift(name=""whytea"", language=""en"", Talk=<parse.Talk object at 0x10aa6f650>), TranslationShift(name=""pharmafirma"", language=""en"", Talk=<parse.Talk object at 0x10aa6f650>), TranslationShift(name=""gooniesbro"", language=""en"", Talk=<parse.Talk object at 0x10aa6f650>)]",de,Ada,0 days 01:00:00.000000000,Der Pfad von 4G zu 5G,"['Peter Schmidt', 'Heurekus']",https://fahrplan.events.ccc.de/congress/2019/Fahrplan/events/10542.html
187,pharmafirma,en,"[TranslationShift(name=""whytea"", language=""en"", Talk=<parse.Talk object at 0x10aa6f990>), TranslationShift(name=""pharmafirma"", language=""en"", Talk=<parse.Talk object at 0x10aa6f990>), TranslationShift(name=""gooniesbro"", language=""en"", Talk=<parse.Talk object at 0x10aa6f990>)]",de,Ada,0 days 01:00:00.000000000,Der Pfad von 4G zu 5G,"['Peter Schmidt', 'Heurekus']",https://fahrplan.events.ccc.de/congress/2019/Fahrplan/events/10542.html
188,gooniesbro,en,"[TranslationShift(name=""whytea"", language=""en"", Talk=<parse.Talk object at 0x10aa6fc10>), TranslationShift(name=""pharmafirma"", language=""en"", Talk=<parse.Talk object at 0x10aa6fc10>), TranslationShift(name=""gooniesbro"", language=""en"", Talk=<parse.Talk object at 0x10aa6fc10>)]",de,Ada,0 days 01:00:00.000000000,Der Pfad von 4G zu 5G,"['Peter Schmidt', 'Heurekus']",https://fahrplan.events.ccc.de/congress/2019/Fahrplan/events/10542.html
189,sirenensang,de,"[TranslationShift(name=""sirenensang"", language=""de"", Talk=<parse.Talk object at 0x10aa73150>), TranslationShift(name=""DuckMan"", language=""de"", Talk=<parse.Talk object at 0x10aa73150>), TranslationShift(name=""Ben"", language=""de"", Talk=<parse.Talk object at 0x10aa73150>), TranslationShift(name=""desco"", language=""de"", Talk=<parse.Talk object at 0x10aa73150>), TranslationShift(name=""Ben"", language=""de"", Talk=<parse.Talk object at 0x10aa73150>), TranslationShift(name=""desco"", language=""de"", Talk=<parse.Talk object at 0x10aa73150>), TranslationShift(name=""athena"", language=""de"", Talk=<parse.Talk object at 0x10aa73150>), TranslationShift(name=""Scriptkiddi"", language=""de"", Talk=<parse.Talk object at 0x10aa73150>), TranslationShift(name=""flberger"", language=""de"", Talk=<parse.Talk object at 0x10aa73150>), TranslationShift(name=""ironic"", language=""fr"", Talk=<parse.Talk object at 0x10aa73150>), TranslationShift(name=""db0"", language=""fr"", Talk=<parse.Talk object at 0x10aa73150>), TranslationShift(name=""korfuri"", language=""fr"", Talk=<parse.Talk object at 0x10aa73150>), TranslationShift(name=""Yann0u"", language=""fr"", Talk=<parse.Talk object at 0x10aa73150>)]",en,Borg,0 days 02:20:00.000000000,Lightning Talks Day 2,"['gedsic', 'bigalex']",https://fahrplan.events.ccc.de/congress/2019/Fahrplan/events/10524.html
190,DuckMan,de,"[TranslationShift(name=""sirenensang"", language=""de"", Talk=<parse.Talk object at 0x10aa6ffd0>), TranslationShift(name=""DuckMan"", language=""de"", Talk=<parse.Talk object at 0x10aa6ffd0>), TranslationShift(name=""Ben"", language=""de"", Talk=<parse.Talk object at 0x10aa6ffd0>), TranslationShift(name=""desco"", language=""de"", Talk=<parse.Talk object at 0x10aa6ffd0>), TranslationShift(name=""Ben"", language=""de"", Talk=<parse.Talk object at 0x10aa6ffd0>), TranslationShift(name=""desco"", language=""de"", Talk=<parse.Talk object at 0x10aa6ffd0>), TranslationShift(name=""athena"", language=""de"", Talk=<parse.Talk object at 0x10aa6ffd0>), TranslationShift(name=""Scriptkiddi"", language=""de"", Talk=<parse.Talk object at 0x10aa6ffd0>), TranslationShift(name=""flberger"", language=""de"", Talk=<parse.Talk object at 0x10aa6ffd0>), TranslationShift(name=""ironic"", language=""fr"", Talk=<parse.Talk object at 0x10aa6ffd0>), TranslationShift(name=""db0"", language=""fr"", Talk=<parse.Talk object at 0x10aa6ffd0>), TranslationShift(name=""korfuri"", language=""fr"", Talk=<parse.Talk object at 0x10aa6ffd0>), TranslationShift(name=""Yann0u"", language=""fr"", Talk=<parse.Talk object at 0x10aa6ffd0>)]",en,Borg,0 days 02:20:00.000000000,Lightning Talks Day 2,"['gedsic', 'bigalex']",https://fahrplan.events.ccc.de/congress/2019/Fahrplan/events/10524.html
191,Ben,de,"[TranslationShift(name=""sirenensang"", language=""de"", Talk=<parse.Talk object at 0x10aa73750>), TranslationShift(name=""DuckMan"", language=""de"", Talk=<parse.Talk object at 0x10aa73750>), TranslationShift(name=""Ben"", language=""de"", Talk=<parse.Talk object at 0x10aa73750>), TranslationShift(name=""desco"", language=""de"", Talk=<parse.Talk object at 0x10aa73750>), TranslationShift(name=""Ben"", language=""de"", Talk=<parse.Talk object at 0x10aa73750>), TranslationShift(name=""desco"", language=""de"", Talk=<parse.Talk object at 0x10aa73750>), TranslationShift(name=""athena"", language=""de"", Talk=<parse.Talk object at 0x10aa73750>), TranslationShift(name=""Scriptkiddi"", language=""de"", Talk=<parse.Talk object at 0x10aa73750>), TranslationShift(name=""flberger"", language=""de"", Talk=<parse.Talk object at 0x10aa73750>), TranslationShift(name=""ironic"", language=""fr"", Talk=<parse.Talk object at 0x10aa73750>), TranslationShift(name=""db0"", language=""fr"", Talk=<parse.Talk object at 0x10aa73750>), TranslationShift(name=""korfuri"", language=""fr"", Talk=<parse.Talk object at 0x10aa73750>), TranslationShift(name=""Yann0u"", language=""fr"", Talk=<parse.Talk object at 0x10aa73750>)]",en,Borg,0 days 02:20:00.000000000,Lightning Talks Day 2,"['gedsic', 'bigalex']",https://fahrplan.events.ccc.de/congress/2019/Fahrplan/events/10524.html
192,desco,de,"[TranslationShift(name=""sirenensang"", language=""de"", Talk=<parse.Talk object at 0x10aa73c90>), TranslationShift(name=""DuckMan"", language=""de"", Talk=<parse.Talk object at 0x10aa73c90>), TranslationShift(name=""Ben"", language=""de"", Talk=<parse.Talk object at 0x10aa73c90>), TranslationShift(name=""desco"", language=""de"", Talk=<parse.Talk object at 0x10aa73c90>), TranslationShift(name=""Ben"", language=""de"", Talk=<parse.Talk object at 0x10aa73c90>), TranslationShift(name=""desco"", language=""de"", Talk=<parse.Talk object at 0x10aa73c90>), TranslationShift(name=""athena"", language=""de"", Talk=<parse.Talk object at 0x10aa73c90>), TranslationShift(name=""Scriptkiddi"", language=""de"", Talk=<parse.Talk object at 0x10aa73c90>), TranslationShift(name=""flberger"", language=""de"", Talk=<parse.Talk object at 0x10aa73c90>), TranslationShift(name=""ironic"", language=""fr"", Talk=<parse.Talk object at 0x10aa73c90>), TranslationShift(name=""db0"", language=""fr"", Talk=<parse.Talk object at 0x10aa73c90>), TranslationShift(name=""korfuri"", language=""fr"", Talk=<parse.Talk object at 0x10aa73c90>), TranslationShift(name=""Yann0u"", language=""fr"", Talk=<parse.Talk object at 0x10aa73c90>)]",en,Borg,0 days 02:20:00.000000000,Lightning Talks Day 2,"['gedsic', 'bigalex']",https://fahrplan.events.ccc.de/congress/2019/Fahrplan/events/10524.html
193,Ben,de,"[TranslationShift(name=""sirenensang"", language=""de"", Talk=<parse.Talk object at 0x10aa79190>), TranslationShift(name=""DuckMan"", language=""de"", Talk=<parse.Talk object at 0x10aa79190>), TranslationShift(name=""Ben"", language=""de"", Talk=<parse.Talk object at 0x10aa79190>), TranslationShift(name=""desco"", language=""de"", Talk=<parse.Talk object at 0x10aa79190>), TranslationShift(name=""Ben"", language=""de"", Talk=<parse.Talk object at 0x10aa79190>), TranslationShift(name=""desco"", language=""de"", Talk=<parse.Talk object at 0x10aa79190>), TranslationShift(name=""athena"", language=""de"", Talk=<parse.Talk object at 0x10aa79190>), TranslationShift(name=""Scriptkiddi"", language=""de"", Talk=<parse.Talk object at 0x10aa79190>), TranslationShift(name=""flberger"", language=""de"", Talk=<parse.Talk object at 0x10aa79190>), TranslationShift(name=""ironic"", language=""fr"", Talk=<parse.Talk object at 0x10aa79190>), TranslationShift(name=""db0"", language=""fr"", Talk=<parse.Talk object at 0x10aa79190>), TranslationShift(name=""korfuri"", language=""fr"", Talk=<parse.Talk object at 0x10aa79190>), TranslationShift(name=""Yann0u"", language=""fr"", Talk=<parse.Talk object at 0x10aa79190>)]",en,Borg,0 days 02:20:00.000000000,Lightning Talks Day 2,"['gedsic', 'bigalex']",https://fahrplan.events.ccc.de/congress/2019/Fahrplan/events/10524.html
194,desco,de,"[TranslationShift(name=""sirenensang"", language=""de"", Talk=<parse.Talk object at 0x10aa796d0>), TranslationShift(name=""DuckMan"", language=""de"", Talk=<parse.Talk object at 0x10aa796d0>), TranslationShift(name=""Ben"", language=""de"", Talk=<parse.Talk object at 0x10aa796d0>), TranslationShift(name=""desco"", language=""de"", Talk=<parse.Talk object at 0x10aa796d0>), TranslationShift(name=""Ben"", language=""de"", Talk=<parse.Talk object at 0x10aa796d0>), TranslationShift(name=""desco"", language=""de"", Talk=<parse.Talk object at 0x10aa796d0>), TranslationShift(name=""athena"", language=""de"", Talk=<parse.Talk object at 0x10aa796d0>), TranslationShift(name=""Scriptkiddi"", language=""de"", Talk=<parse.Talk object at 0x10aa796d0>), TranslationShift(name=""flberger"", language=""de"", Talk=<parse.Talk object at 0x10aa796d0>), TranslationShift(name=""ironic"", language=""fr"", Talk=<parse.Talk object at 0x10aa796d0>), TranslationShift(name=""db0"", language=""fr"", Talk=<parse.Talk object at 0x10aa796d0>), TranslationShift(name=""korfuri"", language=""fr"", Talk=<parse.Talk object at 0x10aa796d0>), TranslationShift(name=""Yann0u"", language=""fr"", Talk=<parse.Talk object at 0x10aa796d0>)]",en,Borg,0 days 02:20:00.000000000,Lightning Talks Day 2,"['gedsic', 'bigalex']",https://fahrplan.events.ccc.de/congress/2019/Fahrplan/events/10524.html
195,athena,de,"[TranslationShift(name=""sirenensang"", language=""de"", Talk=<parse.Talk object at 0x10aa79bd0>), TranslationShift(name=""DuckMan"", language=""de"", Talk=<parse.Talk object at 0x10aa79bd0>), TranslationShift(name=""Ben"", language=""de"", Talk=<parse.Talk object at 0x10aa79bd0>), TranslationShift(name=""desco"", language=""de"", Talk=<parse.Talk object at 0x10aa79bd0>), TranslationShift(name=""Ben"", language=""de"", Talk=<parse.Talk object at 0x10aa79bd0>), TranslationShift(name=""desco"", language=""de"", Talk=<parse.Talk object at 0x10aa79bd0>), TranslationShift(name=""athena"", language=""de"", Talk=<parse.Talk object at 0x10aa79bd0>), TranslationShift(name=""Scriptkiddi"", language=""de"", Talk=<parse.Talk object at 0x10aa79bd0>), TranslationShift(name=""flberger"", language=""de"", Talk=<parse.Talk object at 0x10aa79bd0>), TranslationShift(name=""ironic"", language=""fr"", Talk=<parse.Talk object at 0x10aa79bd0>), TranslationShift(name=""db0"", language=""fr"", Talk=<parse.Talk object at 0x10aa79bd0>), TranslationShift(name=""korfuri"", language=""fr"", Talk=<parse.Talk object at 0x10aa79bd0>), TranslationShift(name=""Yann0u"", language=""fr"", Talk=<parse.Talk object at 0x10aa79bd0>)]",en,Borg,0 days 02:20:00.000000000,Lightning Talks Day 2,"['gedsic', 'bigalex']",https://fahrplan.events.ccc.de/congress/2019/Fahrplan/events/10524.html
196,Scriptkiddi,de,"[TranslationShift(name=""sirenensang"", language=""de"", Talk=<parse.Talk object at 0x10aa7d050>), TranslationShift(name=""DuckMan"", language=""de"", Talk=<parse.Talk object at 0x10aa7d050>), TranslationShift(name=""Ben"", language=""de"", Talk=<parse.Talk object at 0x10aa7d050>), TranslationShift(name=""desco"", language=""de"", Talk=<parse.Talk object at 0x10aa7d050>), TranslationShift(name=""Ben"", language=""de"", Talk=<parse.Talk object at 0x10aa7d050>), TranslationShift(name=""desco"", language=""de"", Talk=<parse.Talk object at 0x10aa7d050>), TranslationShift(name=""athena"", language=""de"", Talk=<parse.Talk object at 0x10aa7d050>), TranslationShift(name=""Scriptkiddi"", language=""de"", Talk=<parse.Talk object at 0x10aa7d050>), TranslationShift(name=""flberger"", language=""de"", Talk=<parse.Talk object at 0x10aa7d050>), TranslationShift(name=""ironic"", language=""fr"", Talk=<parse.Talk object at 0x10aa7d050>), TranslationShift(name=""db0"", language=""fr"", Talk=<parse.Talk object at 0x10aa7d050>), TranslationShift(name=""korfuri"", language=""fr"", Talk=<parse.Talk object at 0x10aa7d050>), TranslationShift(name=""Yann0u"", language=""fr"", Talk=<parse.Talk object at 0x10aa7d050>)]",en,Borg,0 days 02:20:00.000000000,Lightning Talks Day 2,"['gedsic', 'bigalex']",https://fahrplan.events.ccc.de/congress/2019/Fahrplan/events/10524.html
